4.31+0i,0.0409611732671586-0.0347066565362483i
4.32+0i,0.0404039638116879-0.0149612692286991i
4.33+0i,0.0462652481932146-0.0339886424042594i
4.34+0i,0.038874467874179-0.0249183219575689i
4.35+0i,0.0447749956338916-0.0221280643095226i
4.36+0i,0.0400482689509174-0.0335989423228384i
4.37+0i,0.0421976199124071-0.0184879838504239i
4.38+0i,0.0437672249581695-0.0356914112740039i
4.39+0i,0.0395011118177294-0.0169411708741479i
4.4+0i,0.0460549514196444-0.0282424636984551i
4.41+0i,0.0378869254002887-0.0303432128372684i
4.42+0i,0.0433854108055902-0.0195115437512183i
4.43+0i,0.0452196712441794-0.0343425587100358i
4.44+0i,0.0439289119396636-0.0157549177448063i
4.45+0i,0.0477706909810455-0.034122902842859i
4.46+0i,0.0389042519445002-0.0220879540435175i
4.47+0i,0.0428640649746335-0.0231477670736592i
4.48+0i,0.0394815834758278-0.0346886424042613i
4.49+0i,0.0426298701255034-0.0167021313403037i
4.5+0i,0.0450415956627634-0.0353659242719256i
4.51+0i,0.039366819250225-0.01885110363404i
4.52+0i,0.0465598136390984-0.0293321026670643i
4.53+0i,0.0405619005684588-0.0276768302630235i
4.54+0i,0.043371917442938-0.0195262460410108i
4.55+0i,0.0414969371860527-0.0365436023420891i
4.56+0i,0.0387930864697382-0.0170733054558314i
4.57+0i,0.0429865876038131-0.034122968432313i
4.58+0i,0.0361398608967478-0.0218390839447935i
4.59+0i,0.0452021650151421-0.0230428849974373i
4.6+0i,0.0418956542618564-0.0311099619580968i
4.61+0i,0.0412093835977616-0.0155173256072527i
4.62+0i,0.0438689271940957-0.0371142072679537i
4.63+0i,0.0395743617482065-0.0193082120522598i
4.64+0i,0.0460455775579965-0.0294147585880974i
4.65+0i,0.0408641802277585-0.0257636584937366i
4.66+0i,0.0439153955752517-0.0202262170570957i
4.67+0i,0.0396495288733534-0.0368707625961947i
4.68+0i,0.0397816367931353-0.013342890644827i
4.69+0i,0.046369098909522-0.0328942757140059i
4.7+0i,0.0384733502450621-0.0199598188918211i
4.71+0i,0.0427109248478678-0.0231647697024955i
4.72+0i,0.0372526920018879-0.0357300478666183i
4.73+0i,0.0409521085528358-0.0206960747878699i
4.74+0i,0.0461768452518527-0.0386586543157196i
4.75+0i,0.0409447937943877-0.0169650844972125i
4.76+0i,0.0446120226202216-0.0312724728015198i
4.77+0i,0.0369000920808631-0.0278192106229778i
4.78+0i,0.0431892408421448-0.0202880692966473i
4.79+0i,0.0426125435812915-0.0367001576703247i
4.8+0i,0.0409674622630563-0.0160669397560734i
4.81+0i,0.0460402730250451-0.0369595315319729i
4.82+0i,0.0386342045852511-0.022188710365756i
4.83+0i,0.0454868967511366-0.0247148352919602i
4.84+0i,0.0403760305235901-0.0342077529769738i
4.85+0i,0.0426097571767911-0.0187455263484106i
4.86+0i,0.0431196147818749-0.0371125853895268i
4.87+0i,0.03649092206356-0.0161978735844215i
4.88+0i,0.0452811209207871-0.0315676427109705i
4.89+0i,0.0396603970881527-0.026423978269071i
4.9+0i,0.0455001181840958-0.018443409277387i
4.91+0i,0.0424310644584819-0.036644723116207i
4.92+0i,0.0389261701101084-0.0152843159639443i
4.93+0i,0.0445391232670171-0.0342284259881856i
4.94+0i,0.0359776350411436-0.0186559025860506i
4.95+0i,0.0431102142583247-0.0248294449520909i
4.96+0i,0.0404493865800376-0.0315513185427587i
4.97+0i,0.042315958782757-0.0164659075731671i
4.98+0i,0.041221846764756-0.0398012898936071i
